,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Chitungwiza,ZW,62.46,clear sky,-18.0127,31.0756,Damview Hotel
526,Kieta,PG,83.23,light rain,-6.2167,155.6333,Uruna Bay Retreat
528,Humberto De Campos,BR,76.21,few clouds,-2.5983,-43.4611,Pousada do Cabeça
529,Mataram,ID,85.01,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
530,Port-Gentil,GA,77.34,light rain,-0.7193,8.7815,Fengshui Residence
532,Kirakira,SB,83.37,broken clouds,-10.4544,161.9205,SanBiz Lodge
534,Kroya,ID,81.19,broken clouds,-7.6331,109.2461,Wisma Legoq Kost
537,Taguatinga,BR,81.39,scattered clouds,-12.3857,-46.5711,
538,Merauke,ID,87.55,broken clouds,-8.4667,140.3333,
539,Nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
540,Darnah,LY,74.12,broken clouds,32.767,22.6367,فندق الفردوس
542,Sungaipenuh,ID,72.59,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
543,Harper,LR,75.6,overcast clouds,4.375,-7.7169,Screensaver
544,U Thong,TH,77.16,overcast clouds,14.3751,99.8923,คงทองทิพย์รีสอร์ท
546,Tautira,PF,76.37,light rain,-17.7333,-149.15,Pension Oaoa
547,Tenkodogo,BF,77.81,clear sky,11.78,-0.3697,Hôtel Tiéba
549,Bani Walid,LY,67.95,clear sky,31.7566,13.9942,نيك بلاش
550,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
552,Sao Jose Da Coroa Grande,BR,75.78,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
554,Belmonte,BR,74.66,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
555,Port Augusta,AU,82.08,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
556,Turbat,PK,77.16,clear sky,26.0023,63.044,Mubashar Quarters
558,Half Moon Bay,US,68.92,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
561,Baglan,AF,61.14,clear sky,36.1307,68.7083,Habibullah MOsazai
562,Benemerito De Las Americas,MX,71.89,overcast clouds,16.5167,-90.6439,Residencia Univeresitaria
563,Formosa,AR,64.38,clear sky,-26.1775,-58.1781,Asterión Departamentos
566,Cessnock,AU,75.42,scattered clouds,-32.8333,151.35,Hunter Valley Motel
567,Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Alize Plage
568,Alugan,PH,85.32,scattered clouds,12.2188,125.4808,JM Lodge
569,Wuning,CN,75.85,broken clouds,29.2589,120.2311,Fu Du Hotel
570,Karratha,AU,82.15,clear sky,-20.7377,116.8463,ibis Styles Karratha
572,Midland,US,77.05,scattered clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
